year,world_cup_day,number_of_goals,number_of_matches,cumulative_number_of_goals,cumulative_number_of_matches,average_scored_goals
1930,1,8,2,8,2,4.00
1930,2,7,2,15,4,3.75
1930,3,1,1,16,5,3.20
1930,4,3,1,19,6,3.17
1930,5,8,3,27,9,3.00
1930,6,0,0,27,9,3.00
1930,7,10,2,37,11,3.36
1930,8,9,3,46,14,3.29
1930,9,0,0,46,14,3.29
1930,10,4,1,50,15,3.33
1930,11,0,0,50,15,3.33
1930,12,0,0,50,15,3.33
1930,13,7,1,57,16,3.56
1930,14,7,1,64,17,3.76
1930,15,0,0,64,17,3.76
1930,16,0,0,64,17,3.76
1930,17,0,0,64,17,3.76
1930,18,6,1,70,18,3.89
1934,1,43,8,43,8,5.38
1934,2,0,0,43,8,5.38
1934,3,0,0,43,8,5.38
1934,4,0,0,43,8,5.38
1934,5,13,4,56,12,4.67
1934,6,1,1,57,13,4.38
1934,7,0,0,57,13,4.38
1934,8,5,2,62,15,4.13
1934,9,0,0,62,15,4.13
1934,10,0,0,62,15,4.13
1934,11,0,0,62,15,4.13
1934,12,5,1,67,16,4.19
1934,13,0,0,67,16,4.19
1934,14,0,0,67,16,4.19
1934,15,3,1,70,17,4.12
1938,1,2,1,2,1,2.00
1938,2,33,7,35,8,4.38
1938,3,0,0,35,8,4.38
1938,4,0,0,35,8,4.38
1938,5,0,0,35,8,4.38
1938,6,0,0,35,8,4.38
1938,7,0,0,35,8,4.38
1938,8,0,0,35,8,4.38
1938,9,16,4,51,12,4.25
1938,10,0,0,51,12,4.25
1938,11,0,0,51,12,4.25
1938,12,0,0,51,12,4.25
1938,13,9,2,60,14,4.29
1938,14,0,0,60,14,4.29
1938,15,0,0,60,14,4.29
1938,16,12,2,72,16,4.50
1950,1,4,1,4,1,4.00
1950,2,14,4,18,5,3.60
1950,3,0,0,18,5,3.60
1950,4,0,0,18,5,3.60
1950,5,13,3,31,8,3.88
1950,6,3,2,34,10,3.40
1950,7,0,0,34,10,3.40
1950,8,2,1,36,11,3.27
1950,9,21,5,57,16,3.56
1950,10,0,0,57,16,3.56
1950,11,0,0,57,16,3.56
1950,12,0,0,57,16,3.56
1950,13,0,0,57,16,3.56
1950,14,0,0,57,16,3.56
1950,15,0,0,57,16,3.56
1950,16,12,2,69,18,3.83
1950,17,0,0,69,18,3.83
1950,18,0,0,69,18,3.83
1950,19,0,0,69,18,3.83
1950,20,12,2,81,20,04.05
1950,21,0,0,81,20,04.05
1950,22,0,0,81,20,04.05
1950,23,7,2,88,22,4.00
1954,1,9,4,9,4,2.25
1954,2,25,4,34,8,4.25
1954,3,0,0,34,8,4.25
1954,4,19,4,53,12,4.42
1954,5,25,4,78,16,4.88
1954,6,0,0,78,16,4.88
1954,7,0,0,78,16,4.88
1954,8,14,2,92,18,5.11
