year,stage,team_1,team_2,goals_team_1,goals_team_2,goal_number,time,half
2022,group stage,Qatar,Ecuador,0,2,1,16,first
2022,group stage,Qatar,Ecuador,0,2,2,31,first
2022,group stage,Senegal,Netherlands,0,2,1,84,second
2022,group stage,Senegal,Netherlands,0,2,2,99,second
2022,group stage,Qatar,Senegal,1,3,1,41,first
2022,group stage,Qatar,Senegal,1,3,2,48,second
2022,group stage,Qatar,Senegal,1,3,3,78,second
2022,group stage,Qatar,Senegal,1,3,4,84,second
2022,group stage,Netherlands,Ecuador,1,1,1,6,first
2022,group stage,Netherlands,Ecuador,1,1,2,49,second
2022,group stage,Ecuador,Senegal,1,2,1,44,first
2022,group stage,Ecuador,Senegal,1,2,2,67,second
2022,group stage,Ecuador,Senegal,1,2,3,70,second
2022,group stage,Netherlands,Qatar,2,0,1,26,first
2022,group stage,Netherlands,Qatar,2,0,2,49,second
2022,group stage,England,Iran,6,2,1,35,first
2022,group stage,England,Iran,6,2,2,43,first
2022,group stage,England,Iran,6,2,3,46,first
2022,group stage,England,Iran,6,2,4,62,second
2022,group stage,England,Iran,6,2,5,65,second
2022,group stage,England,Iran,6,2,6,71,second
2022,group stage,England,Iran,6,2,7,90,second
2022,group stage,England,Iran,6,2,8,103,second
2022,group stage,USA,Wales,1,1,1,36,first
2022,group stage,USA,Wales,1,1,2,82,second
2022,group stage,Wales,Iran,0,2,1,98,second
2022,group stage,Wales,Iran,0,2,2,101,second
2022,group stage,Wales,England,0,3,1,50,second
2022,group stage,Wales,England,0,3,2,51,second
2022,group stage,Wales,England,0,3,3,68,second
2022,group stage,Iran, USA,0,1,1,38,first
2022,group stage,Argentina,Saudi Arabia,1,2,1,10,first
2022,group stage,Argentina,Saudi Arabia,1,2,2,48,second
2022,group stage,Argentina,Saudi Arabia,1,2,3,53,second
2022,group stage,Poland,Saudi Arabia,2,0,1,39,first
2022,group stage,Poland,Saudi Arabia,2,0,2,82,second
2022,group stage,Argentina,Mexico,2,0,1,64,second
2022,group stage,Argentina,Mexico,2,0,2,87,second
2022,group stage,Poland,Argentina,0,2,1,46,second
2022,group stage,Poland,Argentina,0,2,2,67,second
2022,group stage,Saudi Arabia,Mexico,1,2,1,47,second
2022,group stage,Saudi Arabia,Mexico,1,2,2,52,second
2022,group stage,Saudi Arabia,Mexico,1,2,3,95,second
2022,group stage,France,Australia,4,1,1,9,first
2022,group stage,France,Australia,4,1,2,27,first
2022,group stage,France,Australia,4,1,3,32,first
2022,group stage,France,Australia,4,1,4,68,second
2022,group stage,France,Australia,4,1,5,71,second
2022,group stage,Tunisia,Australia,0,1,1,23,first
2022,group stage,France,Denmark,2,1,1,61,second
2022,group stage,France,Denmark,2,1,2,68,second
2022,group stage,France,Denmark,2,1,3,86,second
2022,group stage,Australia,Denmark,1,0,1,60,second
2022,group stage,Tunisia,France,1,0,1,58,second
2022,group stage,Germany,Japan,1,2,1,33,first
2022,group stage,Germany,Japan,1,2,2,75,second
2022,group stage,Germany,Japan,1,2,3,83,second
2022,group stage,Spain,Costa Rica,7,0,1,11,first
2022,group stage,Spain,Costa Rica,7,0,2,21,first
2022,group stage,Spain,Costa Rica,7,0,3,31,first
