year,world_cup_day,number_of_goals,number_of_matches,cumulative_number_of_goals,cumulative_number_of_matches,average_scored_goals
2022,1,2,1,2,1,2.00
2022,2,12,3,14,4,3.50
2022,3,8,4,22,8,2.75
2022,4,11,4,33,12,2.75
2022,5,8,4,41,16,2.56
2022,6,8,4,49,20,2.45
2022,7,8,4,57,24,2.38
2022,8,10,4,67,28,2.39
2022,9,14,4,81,32,2.53
2022,10,9,4,90,36,2.50
2022,11,7,4,97,40,2.43
2022,12,12,4,109,44,2.48
2022,13,11,4,120,48,2.50
2022,14,7,2,127,50,2.54
2022,15,7,2,134,52,2.58
2022,16,7,2,141,54,2.61
2022,17,7,2,148,56,2.64
2022,18,0,0,148,56,2.64
2022,19,0,0,148,56,2.64
2022,20,6,2,154,58,2.66
2022,21,4,2,158,60,2.63
2022,22,0,0,158,60,2.63
2022,23,0,0,158,60,2.63
2022,24,3,1,161,61,2.64
2022,25,2,1,163,62,2.63
2022,26,0,0,163,62,2.63
2022,27,3,1,166,63,2.63
2022,28,6,1,172,64,2.69
